wind_speed_kmh,rainfall_mm,temperature_c,humidity_percent,storm,risk_score,risk_level,recommended_sensitivity
23.68,6.16,23.12,92.82,0,29.36,LOW_RISK,HIGH
35.34,4.31,31.45,65.31,0,31.0,LOW_RISK,HIGH
16.04,2.88,34.8,78.52,0,30.06,LOW_RISK,HIGH
62.1,8.96,28.45,55.77,0,54.33,MEDIUM_RISK,MEDIUM
35.98,17.51,36.09,43.59,1,68.35,HIGH_RISK,LOW
28.99,4.92,13.18,46.44,0,19.92,LOW_RISK,HIGH
3.16,11.68,32.28,75.61,0,26.63,LOW_RISK,HIGH
4.65,11.78,24.54,100.0,0,29.75,LOW_RISK,HIGH
25.4,2.32,12.74,78.95,0,24.92,LOW_RISK,HIGH
18.7,2.75,22.08,47.79,0,22.89,LOW_RISK,HIGH
19.18,0.2,44.26,64.39,0,22.63,LOW_RISK,HIGH
29.74,21.28,37.02,100.0,0,45.41,MEDIUM_RISK,MEDIUM
16.9,6.4,24.62,74.39,0,33.87,LOW_RISK,HIGH
18.33,0.91,19.21,58.75,0,17.83,LOW_RISK,HIGH
59.07,5.1,33.05,62.05,1,59.36,HIGH_RISK,LOW
45.81,14.03,20.14,89.53,0,61.06,HIGH_RISK,LOW
41.51,17.54,25.91,71.07,0,56.22,HIGH_RISK,LOW
3.95,5.25,22.77,62.2,0,12.29,LOW_RISK,HIGH
22.69,8.98,29.19,68.15,0,30.93,LOW_RISK,HIGH
14.7,1.3,25.07,75.87,0,5.75,LOW_RISK,HIGH
28.52,4.07,31.04,100.0,0,30.83,LOW_RISK,HIGH
44.23,5.53,41.46,25.72,0,32.91,LOW_RISK,HIGH
12.72,5.84,18.7,74.59,0,19.83,LOW_RISK,HIGH
20.16,8.06,41.17,26.79,0,38.41,MEDIUM_RISK,MEDIUM
14.73,7.13,29.47,56.35,0,10.9,LOW_RISK,HIGH
32.19,4.17,20.82,52.65,0,37.95,MEDIUM_RISK,MEDIUM
19.84,11.94,12.59,51.21,0,28.82,LOW_RISK,HIGH
13.75,2.04,33.52,36.59,0,11.69,LOW_RISK,HIGH
26.29,3.04,26.01,69.83,0,18.82,LOW_RISK,HIGH
27.46,10.2,27.62,41.53,0,33.91,LOW_RISK,HIGH
35.35,3.85,19.97,67.6,0,41.82,MEDIUM_RISK,MEDIUM
11.13,5.95,20.29,73.47,0,23.28,LOW_RISK,HIGH
28.03,3.64,25.53,63.42,0,25.84,LOW_RISK,HIGH
12.83,3.75,25.3,58.9,0,5.93,LOW_RISK,HIGH
10.73,14.96,24.04,56.42,0,19.97,LOW_RISK,HIGH
56.78,1.18,30.03,100.0,0,41.99,MEDIUM_RISK,MEDIUM
4.61,2.81,30.47,80.4,0,15.46,LOW_RISK,HIGH
32.13,2.54,16.88,54.48,0,34.2,LOW_RISK,HIGH
21.16,2.34,17.71,28.6,0,22.13,LOW_RISK,HIGH
11.92,4.03,35.3,35.72,0,16.84,LOW_RISK,HIGH
7.37,0.83,23.06,74.56,0,13.54,LOW_RISK,HIGH
9.2,15.52,31.83,67.31,0,24.42,LOW_RISK,HIGH
45.83,7.8,33.8,94.38,1,65.67,HIGH_RISK,LOW
13.37,9.78,40.24,30.82,0,20.53,LOW_RISK,HIGH
37.74,3.27,23.91,40.16,0,34.88,LOW_RISK,HIGH
55.57,7.68,24.14,33.9,0,44.88,MEDIUM_RISK,MEDIUM
25.84,11.67,29.04,57.42,0,28.71,LOW_RISK,HIGH
23.14,11.21,14.18,85.21,0,44.23,MEDIUM_RISK,MEDIUM
14.75,2.75,22.08,93.05,0,20.56,LOW_RISK,HIGH
6.69,5.78,21.52,69.74,0,14.71,LOW_RISK,HIGH
33.95,5.94,26.89,67.16,0,39.76,MEDIUM_RISK,MEDIUM
11.87,3.45,45.0,52.94,0,20.36,LOW_RISK,HIGH
48.33,4.53,12.9,69.83,1,60.86,HIGH_RISK,LOW
33.87,22.23,32.17,66.55,0,53.82,MEDIUM_RISK,MEDIUM
8.59,2.01,32.24,83.02,0,15.66,LOW_RISK,HIGH
18.31,4.97,16.16,90.57,0,32.27,LOW_RISK,HIGH
10.71,22.03,19.35,59.33,1,41.21,MEDIUM_RISK,MEDIUM
19.86,6.45,24.88,67.46,0,22.06,LOW_RISK,HIGH
21.88,3.11,15.03,63.73,0,18.63,LOW_RISK,HIGH
8.93,13.32,31.85,68.59,0,17.93,LOW_RISK,HIGH
67.77,11.2,26.77,55.34,0,60.41,HIGH_RISK,LOW
23.48,0.33,32.57,47.74,1,32.89,LOW_RISK,HIGH
22.38,1.74,32.07,57.18,0,13.79,LOW_RISK,HIGH
3.58,0.55,18.18,48.91,0,0.0,LOW_RISK,HIGH
10.83,13.03,14.84,55.83,0,21.42,LOW_RISK,HIGH
26.32,2.88,30.44,59.99,0,23.65,LOW_RISK,HIGH
42.16,6.26,11.14,83.23,0,49.02,MEDIUM_RISK,MEDIUM
40.65,5.96,28.36,77.69,0,34.95,LOW_RISK,HIGH
24.7,3.67,33.89,77.54,0,29.55,LOW_RISK,HIGH
8.14,5.9,27.96,46.67,0,5.82,LOW_RISK,HIGH
28.11,1.28,34.42,38.58,0,12.75,LOW_RISK,HIGH
11.83,16.04,23.5,99.44,1,54.65,MEDIUM_RISK,MEDIUM
9.68,3.44,19.1,79.24,0,17.66,LOW_RISK,HIGH
9.41,4.36,23.11,46.7,0,16.06,LOW_RISK,HIGH
12.91,18.67,17.81,43.98,0,32.94,LOW_RISK,HIGH
16.51,2.59,15.94,62.86,0,30.11,LOW_RISK,HIGH
16.97,5.42,27.43,80.48,0,26.16,LOW_RISK,HIGH
25.46,6.19,27.16,82.5,0,38.34,MEDIUM_RISK,MEDIUM
24.66,11.75,9.46,71.13,0,36.76,MEDIUM_RISK,MEDIUM
7.6,15.07,27.95,100.0,1,60.22,HIGH_RISK,LOW
14.73,7.58,28.36,84.74,0,16.87,LOW_RISK,HIGH
17.83,11.54,29.48,83.82,0,43.37,MEDIUM_RISK,MEDIUM
10.46,7.6,19.51,77.48,0,19.36,LOW_RISK,HIGH
25.27,4.84,34.98,64.78,0,29.09,LOW_RISK,HIGH
24.4,7.32,12.2,63.49,0,21.53,LOW_RISK,HIGH
14.91,1.71,20.51,73.86,0,8.96,LOW_RISK,HIGH
13.14,10.32,35.28,75.92,0,25.66,LOW_RISK,HIGH
8.35,1.5,23.49,52.85,0,5.66,LOW_RISK,HIGH
21.66,9.87,23.33,68.04,0,34.38,LOW_RISK,HIGH
29.97,1.95,26.82,87.51,0,29.72,LOW_RISK,HIGH
33.55,27.96,23.49,77.98,1,80.79,HIGH_RISK,LOW
20.83,7.17,29.94,62.12,0,18.58,LOW_RISK,HIGH
36.25,8.58,26.69,88.71,0,52.43,MEDIUM_RISK,MEDIUM
24.55,6.57,23.15,58.11,0,23.79,LOW_RISK,HIGH
42.29,4.32,33.26,86.12,0,46.42,MEDIUM_RISK,MEDIUM
11.54,2.06,29.42,49.17,0,25.9,LOW_RISK,HIGH
51.48,1.5,16.56,70.67,0,41.78,MEDIUM_RISK,MEDIUM
18.87,9.9,28.73,60.51,0,28.91,LOW_RISK,HIGH
29.52,3.46,32.3,62.12,0,23.22,LOW_RISK,HIGH
4.8,2.69,17.51,51.52,0,13.21,LOW_RISK,HIGH
17.9,5.25,35.7,80.57,0,27.16,LOW_RISK,HIGH
49.81,17.37,20.31,66.62,1,69.89,HIGH_RISK,LOW
80.0,4.45,21.86,48.93,0,38.68,MEDIUM_RISK,MEDIUM
9.13,4.09,25.24,70.44,1,37.74,MEDIUM_RISK,MEDIUM
17.21,3.91,31.55,45.54,0,18.23,LOW_RISK,HIGH
14.3,4.55,34.12,67.86,0,17.11,LOW_RISK,HIGH
26.83,9.7,37.17,86.74,0,49.01,MEDIUM_RISK,MEDIUM
16.48,20.18,26.76,61.29,0,41.22,MEDIUM_RISK,MEDIUM
10.49,6.71,35.63,92.36,1,45.26,MEDIUM_RISK,MEDIUM
32.13,4.51,32.0,72.14,0,38.6,MEDIUM_RISK,MEDIUM
41.02,7.94,31.24,71.97,1,56.44,HIGH_RISK,LOW
47.83,9.87,20.59,100.0,0,59.14,HIGH_RISK,LOW
24.9,3.68,28.16,93.02,0,33.35,LOW_RISK,HIGH
14.05,4.22,15.09,70.16,0,22.62,LOW_RISK,HIGH
20.97,3.03,21.24,87.06,0,29.4,LOW_RISK,HIGH
17.29,18.71,28.26,66.09,1,51.58,MEDIUM_RISK,MEDIUM
9.08,1.81,25.76,32.02,0,1.86,LOW_RISK,HIGH
23.81,4.5,22.99,91.23,0,35.72,MEDIUM_RISK,MEDIUM
27.9,17.79,23.77,61.93,0,42.82,MEDIUM_RISK,MEDIUM
4.6,1.46,45.0,64.45,0,11.27,LOW_RISK,HIGH
5.22,5.12,28.41,64.3,0,13.43,LOW_RISK,HIGH
14.17,3.79,32.76,85.79,0,23.92,LOW_RISK,HIGH
52.61,3.39,37.61,82.71,0,48.43,MEDIUM_RISK,MEDIUM
28.91,1.89,21.78,83.04,0,20.9,LOW_RISK,HIGH
6.24,5.84,15.08,57.43,0,13.64,LOW_RISK,HIGH
39.3,6.84,30.45,76.55,0,41.02,MEDIUM_RISK,MEDIUM
30.95,5.16,28.56,76.08,0,36.93,MEDIUM_RISK,MEDIUM
10.76,0.99,39.7,81.1,0,13.82,LOW_RISK,HIGH
30.96,4.25,17.16,63.13,0,32.45,LOW_RISK,HIGH
28.16,2.88,17.43,29.49,0,15.69,LOW_RISK,HIGH
19.17,1.23,21.01,51.29,0,23.35,LOW_RISK,HIGH
11.61,15.28,29.83,71.68,0,35.95,MEDIUM_RISK,MEDIUM
56.59,6.01,36.8,38.13,0,34.93,LOW_RISK,HIGH
21.49,0.85,31.06,60.79,0,18.25,LOW_RISK,HIGH
45.92,11.23,19.95,62.79,0,49.91,MEDIUM_RISK,MEDIUM
20.89,4.79,42.43,58.6,0,26.21,LOW_RISK,HIGH
15.26,16.75,27.39,83.69,1,61.07,HIGH_RISK,LOW
16.94,1.26,20.66,91.97,0,31.29,LOW_RISK,HIGH
25.62,9.53,18.58,40.48,0,22.7,LOW_RISK,HIGH
0.41,6.83,21.72,49.96,0,4.77,LOW_RISK,HIGH
28.84,21.55,32.3,69.49,0,42.34,MEDIUM_RISK,MEDIUM
28.09,3.32,24.14,59.79,0,26.44,LOW_RISK,HIGH
26.55,3.22,22.39,88.85,0,28.68,LOW_RISK,HIGH
38.53,7.76,42.54,59.13,0,46.41,MEDIUM_RISK,MEDIUM
13.34,7.18,35.6,50.06,0,22.42,LOW_RISK,HIGH
25.05,14.56,40.93,87.07,0,47.59,MEDIUM_RISK,MEDIUM
26.75,15.07,15.69,78.72,1,56.49,HIGH_RISK,LOW
27.9,3.12,41.92,70.99,0,33.72,LOW_RISK,HIGH
53.18,9.26,34.74,68.98,0,53.98,MEDIUM_RISK,MEDIUM
17.84,6.62,30.17,97.47,0,39.17,MEDIUM_RISK,MEDIUM
9.53,7.37,38.58,76.52,0,24.29,LOW_RISK,HIGH
5.95,0.69,25.81,48.78,0,0.0,LOW_RISK,HIGH
15.12,14.99,24.42,69.96,0,27.9,LOW_RISK,HIGH
19.37,7.69,13.6,53.08,0,31.98,LOW_RISK,HIGH
18.99,7.7,36.84,72.21,0,28.18,LOW_RISK,HIGH
62.53,13.29,28.69,53.8,1,65.86,HIGH_RISK,LOW
40.18,5.26,41.81,63.63,0,34.96,LOW_RISK,HIGH
56.71,13.95,23.03,50.45,0,53.09,MEDIUM_RISK,MEDIUM
17.08,8.04,36.6,69.52,0,25.41,LOW_RISK,HIGH
19.79,11.7,22.12,62.36,0,33.37,LOW_RISK,HIGH
15.37,8.37,38.67,59.49,0,45.44,MEDIUM_RISK,MEDIUM
44.14,11.3,34.8,60.9,1,61.46,HIGH_RISK,LOW
17.05,22.79,35.13,64.61,0,33.36,LOW_RISK,HIGH
13.11,21.07,30.61,71.6,1,48.34,MEDIUM_RISK,MEDIUM
23.3,9.19,11.3,68.11,0,21.61,LOW_RISK,HIGH
41.52,16.65,34.05,82.14,1,76.51,HIGH_RISK,LOW
20.71,3.36,25.98,58.72,0,16.74,LOW_RISK,HIGH
20.61,13.0,36.78,44.06,0,38.46,MEDIUM_RISK,MEDIUM
16.35,9.25,15.96,46.01,1,45.58,MEDIUM_RISK,MEDIUM
11.72,14.47,32.04,69.72,0,21.02,LOW_RISK,HIGH
27.0,13.35,35.36,48.77,0,27.6,LOW_RISK,HIGH
10.04,4.98,40.07,73.35,0,20.06,LOW_RISK,HIGH
17.02,2.73,20.53,66.18,0,23.09,LOW_RISK,HIGH
14.36,28.6,39.45,57.06,0,34.28,LOW_RISK,HIGH
31.21,5.17,19.0,41.49,0,36.29,MEDIUM_RISK,MEDIUM
14.01,4.18,32.7,85.89,0,13.42,LOW_RISK,HIGH
34.05,7.34,30.17,87.15,0,43.02,MEDIUM_RISK,MEDIUM
23.91,3.39,24.61,44.13,0,29.26,LOW_RISK,HIGH
13.92,12.5,26.33,70.02,0,26.84,LOW_RISK,HIGH
40.64,5.63,21.59,98.27,0,44.01,MEDIUM_RISK,MEDIUM
11.81,9.51,20.19,69.89,0,12.49,LOW_RISK,HIGH
56.79,5.87,23.09,81.43,0,40.7,MEDIUM_RISK,MEDIUM
39.67,9.35,39.11,55.4,0,53.72,MEDIUM_RISK,MEDIUM
26.74,5.76,26.87,61.49,0,23.21,LOW_RISK,HIGH
45.9,3.52,31.31,64.1,0,31.26,LOW_RISK,HIGH
38.49,14.13,34.84,71.02,0,52.54,MEDIUM_RISK,MEDIUM
18.28,3.44,34.84,83.76,0,29.2,LOW_RISK,HIGH
20.69,4.25,27.5,100.0,1,49.61,MEDIUM_RISK,MEDIUM
53.17,14.46,28.22,92.39,0,57.36,HIGH_RISK,LOW
52.26,1.96,37.58,62.43,1,60.91,HIGH_RISK,LOW
5.8,6.42,25.84,82.1,0,15.31,LOW_RISK,HIGH
9.04,6.39,32.81,75.55,0,25.9,LOW_RISK,HIGH
21.35,3.68,32.49,77.66,0,32.24,LOW_RISK,HIGH
38.85,0.94,42.49,49.17,0,27.23,LOW_RISK,HIGH
23.22,5.97,16.78,52.27,0,23.25,LOW_RISK,HIGH
9.99,9.94,35.85,77.59,0,33.77,LOW_RISK,HIGH
17.7,2.61,24.12,67.56,0,21.08,LOW_RISK,HIGH
26.2,5.95,11.18,55.05,0,18.44,LOW_RISK,HIGH
10.22,6.49,27.22,100.0,0,23.54,LOW_RISK,HIGH
34.82,1.71,30.96,42.68,1,40.3,MEDIUM_RISK,MEDIUM
62.46,9.49,25.03,95.02,0,65.94,HIGH_RISK,LOW
6.1,3.47,25.81,69.57,0,15.44,LOW_RISK,HIGH
13.89,12.13,27.28,92.16,0,37.08,MEDIUM_RISK,MEDIUM
16.92,5.7,43.99,63.41,0,22.89,LOW_RISK,HIGH
16.6,7.11,15.3,68.54,0,27.24,LOW_RISK,HIGH
30.76,11.66,26.19,43.95,0,47.26,MEDIUM_RISK,MEDIUM
22.04,17.85,27.68,78.82,0,39.96,MEDIUM_RISK,MEDIUM
23.79,4.25,33.5,20.0,0,27.53,LOW_RISK,HIGH
3.27,1.64,26.83,61.45,0,13.23,LOW_RISK,HIGH
39.0,9.22,27.88,68.57,0,33.62,LOW_RISK,HIGH
16.15,6.43,38.65,78.34,0,30.24,LOW_RISK,HIGH
6.83,13.32,26.83,45.3,0,23.86,LOW_RISK,HIGH
17.43,9.68,21.77,89.68,0,49.64,MEDIUM_RISK,MEDIUM
8.02,10.33,10.27,48.2,0,23.69,LOW_RISK,HIGH
4.92,0.52,19.95,28.38,0,2.26,LOW_RISK,HIGH
12.91,14.09,23.4,100.0,0,27.94,LOW_RISK,HIGH
25.55,2.11,27.44,66.88,0,25.07,LOW_RISK,HIGH
12.27,7.44,31.96,75.34,0,19.24,LOW_RISK,HIGH
5.84,0.57,15.06,65.53,0,9.15,LOW_RISK,HIGH
12.55,0.87,41.02,20.0,0,8.91,LOW_RISK,HIGH
47.0,3.24,15.3,85.51,0,53.64,MEDIUM_RISK,MEDIUM
14.21,9.58,30.9,44.5,0,21.2,LOW_RISK,HIGH
12.02,8.61,36.01,57.29,0,28.96,LOW_RISK,HIGH
20.18,2.25,17.17,42.29,0,27.18,LOW_RISK,HIGH
23.64,8.89,12.67,56.68,0,39.65,MEDIUM_RISK,MEDIUM
38.99,4.64,9.26,92.66,1,61.6,HIGH_RISK,LOW
27.91,2.85,42.48,70.44,0,35.11,MEDIUM_RISK,MEDIUM
25.8,13.37,24.2,52.18,0,36.88,MEDIUM_RISK,MEDIUM
23.52,12.87,15.19,47.29,0,33.38,LOW_RISK,HIGH
4.27,6.14,32.29,88.19,0,27.65,LOW_RISK,HIGH
35.51,4.62,22.31,90.34,0,45.13,MEDIUM_RISK,MEDIUM
33.15,5.65,36.11,92.27,0,51.18,MEDIUM_RISK,MEDIUM
32.19,4.75,33.91,77.57,0,40.53,MEDIUM_RISK,MEDIUM
25.48,14.66,34.97,98.38,0,36.05,MEDIUM_RISK,MEDIUM
4.81,3.96,42.05,86.43,0,28.97,LOW_RISK,HIGH
41.36,5.73,27.23,36.16,0,31.09,LOW_RISK,HIGH
24.62,9.27,18.68,88.47,0,43.98,MEDIUM_RISK,MEDIUM
46.16,11.6,31.31,38.2,1,67.27,HIGH_RISK,LOW
12.85,5.85,15.64,66.58,0,18.02,LOW_RISK,HIGH
28.01,14.57,21.39,76.86,0,36.57,MEDIUM_RISK,MEDIUM
37.14,8.96,32.96,72.78,0,51.91,MEDIUM_RISK,MEDIUM
17.98,2.06,31.54,66.73,0,21.59,LOW_RISK,HIGH
44.79,5.89,37.08,77.2,0,41.72,MEDIUM_RISK,MEDIUM
28.33,3.51,30.08,44.71,0,23.22,LOW_RISK,HIGH
20.38,2.22,23.86,42.56,0,25.57,LOW_RISK,HIGH
16.24,1.9,38.95,61.81,0,16.03,LOW_RISK,HIGH
18.8,15.38,28.14,60.64,0,32.44,LOW_RISK,HIGH
24.39,12.82,15.42,55.45,0,35.23,MEDIUM_RISK,MEDIUM
57.46,24.0,21.39,90.56,1,82.26,HIGH_RISK,LOW
10.43,12.54,29.95,51.03,0,26.32,LOW_RISK,HIGH
4.17,5.48,28.7,38.84,0,12.55,LOW_RISK,HIGH
12.55,17.69,35.93,50.21,1,45.41,MEDIUM_RISK,MEDIUM
30.15,12.1,29.02,78.96,0,51.72,MEDIUM_RISK,MEDIUM
19.89,3.37,28.77,59.13,0,15.62,LOW_RISK,HIGH
11.79,3.97,33.54,100.0,1,40.66,MEDIUM_RISK,MEDIUM
80.0,15.03,34.82,46.46,1,76.08,HIGH_RISK,LOW
21.19,4.75,36.6,41.97,0,25.03,LOW_RISK,HIGH
17.57,1.54,30.9,93.73,0,25.75,LOW_RISK,HIGH
1.25,7.02,13.46,52.99,0,16.56,LOW_RISK,HIGH
20.47,1.18,33.03,91.24,0,26.15,LOW_RISK,HIGH
32.56,9.94,12.32,72.64,0,47.61,MEDIUM_RISK,MEDIUM
30.04,0.39,33.3,100.0,0,37.64,MEDIUM_RISK,MEDIUM
8.82,4.14,33.36,98.22,0,19.8,LOW_RISK,HIGH
13.31,13.68,45.0,84.22,0,26.5,LOW_RISK,HIGH
21.19,15.99,33.59,70.88,0,43.45,MEDIUM_RISK,MEDIUM
23.72,4.58,29.03,43.48,0,22.12,LOW_RISK,HIGH
9.44,16.64,19.13,79.47,0,34.19,LOW_RISK,HIGH
23.2,3.67,36.15,100.0,0,33.84,LOW_RISK,HIGH
20.94,10.54,21.11,77.81,0,36.49,MEDIUM_RISK,MEDIUM
13.31,5.75,18.31,70.57,0,17.5,LOW_RISK,HIGH
39.69,8.34,24.22,88.72,1,66.25,HIGH_RISK,LOW
18.39,8.7,33.2,60.64,0,32.41,LOW_RISK,HIGH
13.42,6.08,34.58,63.47,0,12.53,LOW_RISK,HIGH
57.92,4.97,24.56,98.25,1,67.21,HIGH_RISK,LOW
77.06,4.68,25.73,51.79,0,51.3,MEDIUM_RISK,MEDIUM
24.42,10.18,26.2,64.03,0,29.92,LOW_RISK,HIGH
9.79,3.94,34.28,66.27,0,16.96,LOW_RISK,HIGH
25.93,3.3,25.3,86.09,0,28.43,LOW_RISK,HIGH
35.21,2.97,30.15,74.79,0,40.68,MEDIUM_RISK,MEDIUM
16.16,11.63,26.57,55.47,0,32.0,LOW_RISK,HIGH
24.39,16.31,35.61,60.47,1,52.41,MEDIUM_RISK,MEDIUM
12.43,2.93,28.01,100.0,0,19.58,LOW_RISK,HIGH
50.87,5.32,26.05,71.11,0,48.59,MEDIUM_RISK,MEDIUM
54.53,5.97,23.69,99.38,0,52.74,MEDIUM_RISK,MEDIUM
24.7,5.5,23.86,41.84,0,30.89,LOW_RISK,HIGH
18.36,8.27,28.66,67.99,0,33.8,LOW_RISK,HIGH
32.19,12.89,16.5,84.94,0,49.71,MEDIUM_RISK,MEDIUM
36.88,18.09,25.45,50.93,0,43.6,MEDIUM_RISK,MEDIUM
51.38,10.08,22.17,80.8,1,67.22,HIGH_RISK,LOW
13.66,3.61,37.1,50.97,0,19.76,LOW_RISK,HIGH
9.86,9.07,33.18,51.87,0,21.48,LOW_RISK,HIGH
31.6,2.5,26.32,50.16,0,39.69,MEDIUM_RISK,MEDIUM
46.72,7.27,38.95,29.23,0,44.79,MEDIUM_RISK,MEDIUM
22.24,1.92,19.57,71.2,0,16.43,LOW_RISK,HIGH
31.12,8.5,24.78,73.7,0,46.49,MEDIUM_RISK,MEDIUM
28.82,8.52,31.6,65.83,0,30.02,LOW_RISK,HIGH
10.45,8.28,24.59,50.47,0,25.19,LOW_RISK,HIGH
32.61,4.83,27.69,100.0,0,49.78,MEDIUM_RISK,MEDIUM
60.65,8.63,30.51,50.24,1,61.66,HIGH_RISK,LOW
23.4,19.59,35.68,90.05,0,52.65,MEDIUM_RISK,MEDIUM
18.1,3.57,25.81,60.18,0,30.1,LOW_RISK,HIGH
27.86,10.9,12.43,100.0,0,48.8,MEDIUM_RISK,MEDIUM
29.97,8.04,27.44,47.28,0,27.89,LOW_RISK,HIGH
9.14,4.29,36.76,99.3,1,40.59,MEDIUM_RISK,MEDIUM
8.08,6.72,34.96,70.8,0,23.24,LOW_RISK,HIGH
11.15,9.11,17.01,88.04,0,35.22,MEDIUM_RISK,MEDIUM
8.08,12.19,22.32,78.39,0,23.09,LOW_RISK,HIGH
18.44,15.51,28.11,71.99,0,45.1,MEDIUM_RISK,MEDIUM
64.48,18.59,19.62,47.08,0,63.98,HIGH_RISK,LOW
21.18,1.2,39.44,69.51,0,11.63,LOW_RISK,HIGH
31.81,5.01,29.51,66.1,0,29.82,LOW_RISK,HIGH
17.92,12.62,18.94,44.31,0,25.83,LOW_RISK,HIGH
22.17,5.51,33.42,50.33,0,26.25,LOW_RISK,HIGH
7.35,6.64,32.63,68.41,0,19.4,LOW_RISK,HIGH
5.83,14.65,31.77,36.18,0,19.52,LOW_RISK,HIGH
29.97,8.67,12.87,58.12,0,27.29,LOW_RISK,HIGH
6.39,1.48,19.7,61.06,0,0.83,LOW_RISK,HIGH
14.97,9.68,32.65,77.03,0,29.61,LOW_RISK,HIGH
61.35,19.99,37.68,94.95,1,85.42,HIGH_RISK,LOW
44.72,6.15,24.49,20.0,1,49.46,MEDIUM_RISK,MEDIUM
7.64,3.19,31.44,89.75,0,30.81,LOW_RISK,HIGH
21.06,0.62,25.34,100.0,0,31.73,LOW_RISK,HIGH
16.13,12.2,26.03,61.45,0,26.24,LOW_RISK,HIGH
17.23,5.13,26.19,75.13,0,24.3,LOW_RISK,HIGH
39.91,5.36,18.44,72.09,0,39.41,MEDIUM_RISK,MEDIUM
36.26,3.64,37.03,86.16,0,46.71,MEDIUM_RISK,MEDIUM
20.38,6.75,23.5,58.63,0,30.98,LOW_RISK,HIGH
17.65,0.88,35.73,93.33,0,27.69,LOW_RISK,HIGH
17.25,2.07,20.79,56.28,0,18.68,LOW_RISK,HIGH
19.52,6.21,23.87,97.21,0,32.66,LOW_RISK,HIGH
38.04,2.61,28.28,71.73,0,44.23,MEDIUM_RISK,MEDIUM
8.07,2.6,18.95,37.06,0,8.42,LOW_RISK,HIGH
13.69,4.1,38.03,73.8,0,27.13,LOW_RISK,HIGH
21.24,1.26,33.91,79.59,0,20.98,LOW_RISK,HIGH
29.94,2.19,35.51,51.35,0,31.66,LOW_RISK,HIGH
6.22,4.42,35.64,89.62,0,28.18,LOW_RISK,HIGH
9.88,7.64,37.39,76.52,0,17.85,LOW_RISK,HIGH
21.13,9.74,26.47,70.19,0,34.19,LOW_RISK,HIGH
23.78,6.54,39.56,62.92,0,22.44,LOW_RISK,HIGH
5.64,15.49,32.76,90.64,1,58.43,HIGH_RISK,LOW
15.4,7.79,23.86,91.93,0,39.33,MEDIUM_RISK,MEDIUM
10.77,13.82,28.35,38.56,0,20.04,LOW_RISK,HIGH
22.32,4.48,24.57,78.46,0,24.74,LOW_RISK,HIGH
11.55,2.56,22.91,52.26,0,9.55,LOW_RISK,HIGH
8.3,7.13,27.75,86.4,0,22.44,LOW_RISK,HIGH
6.58,2.19,36.85,46.87,0,13.66,LOW_RISK,HIGH
30.24,2.68,34.27,47.75,0,36.82,MEDIUM_RISK,MEDIUM
12.44,3.39,36.4,84.24,0,18.16,LOW_RISK,HIGH
8.44,17.44,37.59,56.56,0,35.73,MEDIUM_RISK,MEDIUM
11.12,8.98,30.41,81.11,0,32.56,LOW_RISK,HIGH
